OTU	Dry_F_1	Dry_N_1	Wet_F_1	Wet_N_1	Dry_F_2	Dry_N_2	Wet_F_2	Wet_N_2	Dry_F_3	Dry_N_3	Wet_F_3	Wet_N_3	Dry_F_4	Dry_N_4	Wet_F_4	Wet_N_4	Dry_F_5	Dry_N_5	Wet_F_5	Wet_N_5
ASV_107	0	0	0	0	0	0	0	0	0	2	0	0	9	12	0	0	0	0	0	0
ASV_108	2	5	3	1	0	0	0	1	0	0	2	3	0	0	4	0	0	0	1	0
ASV_109	0	0	0	0	1	1	5	1	1	1	0	3	2	0	4	0	2	1	0	0
ASV_110	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	17	0	0	1	1
ASV_111	0	0	0	0	0	0	0	0	0	0	1	20	0	0	1	0	0	0	0	0
ASV_112	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	16	1	0	0
ASV_113	11	3	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ASV_114	1	7	1	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0
ASV_115	3	6	0	0	0	0	0	3	1	0	0	0	0	5	0	0	0	0	0	3
ASV_116	0	1	0	2	0	0	2	3	0	0	0	0	0	7	0	0	2	4	0	0
ASV_117	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	7	0	7	0
ASV_118	1	3	0	2	1	4	0	1	0	0	0	0	1	0	3	0	1	0	2	1
ASV_119	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1
ASV_120	0	8	0	0	0	5	0	0	0	3	0	0	0	2	0	0	1	1	0	0
ASV_121	0	0	2	0	0	0	6	2	0	0	3	2	0	0	0	4	0	0	0	1
ASV_122	0	0	1	0	0	0	1	1	0	0	10	1	0	0	4	2	0	0	0	0
ASV_123	0	0	0	0	0	0	0	0	0	0	0	0	19	1	0	0	0	0	0	0
ASV_124	0	5	0	0	0	0	3	1	0	0	2	0	0	0	4	0	0	2	2	0
ASV_125	0	0	7	0	0	0	1	0	0	0	5	4	0	0	0	2	0	0	0	0
ASV_126	0	0	0	1	0	0	0	1	0	0	3	6	0	0	3	5	0	0	0	0
ASV_127	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	0
ASV_128	1	2	0	0	0	3	2	0	0	4	0	0	0	0	0	0	1	5	0	0
ASV_129	0	3	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ASV_130	0	8	1	0	0	0	3	0	0	0	0	0	2	0	0	0	1	2	0	1
ASV_131	0	2	0	0	1	0	0	1	0	1	2	0	0	0	0	3	0	0	3	5
ASV_132	0	2	0	0	0	0	0	0	0	0	3	0	1	10	0	0	1	1	0	0
ASV_133	0	0	11	0	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0	0
ASV_134	0	0	7	1	1	0	0	2	0	1	3	0	0	0	2	0	0	0	0	1
ASV_135	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	2	4	0	0
ASV_136	1	2	4	1	0	2	0	2	0	0	0	0	0	0	3	1	0	0	0	1
ASV_137	7	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_138	0	13	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
ASV_139	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_140	0	0	0	0	4	4	0	0	3	4	0	0	1	0	0	0	1	0	0	0
