OTU	Dry_F_1	Dry_F_2	Dry_F_3	Dry_F_4	Dry_F_5	Dry_N_1	Dry_N_2	Dry_N_3	Dry_N_4	Dry_N_5	Wet_F_1	Wet_F_2	Wet_F_3	Wet_F_4	Wet_F_5	Wet_N_1	Wet_N_2	Wet_N_3	Wet_N_4	Wet_N_5
OTU_194	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	1	0	0	0
OTU_195	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_196	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_197	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
OTU_198	0	0	0	0	0	2	0	0	1	0	0	2	1	0	0	0	0	1	0	0
OTU_199	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_200	3	0	0	0	0	2	0	4	0	0	0	0	2	2	0	0	0	0	0	11
OTU_201	0	0	0	0	0	17	0	0	0	0	0	0	0	0	31	0	0	0	0	0
OTU_202	1	0	0	0	1	2	3	5	0	6	0	3	4	0	0	1	0	0	0	0
OTU_203	0	0	0	0	1	0	0	0	0	0	0	4	0	0	34	0	16	0	0	6
OTU_204	0	0	0	13	0	0	0	2	29	0	0	0	0	0	0	0	0	0	0	0
OTU_206	0	1	0	0	0	0	1	0	0	0	4	0	1	1	0	0	2	0	0	0
OTU_207	0	2	1	0	0	1	4	0	0	1	3	0	0	1	0	0	0	1	1	3
OTU_208	5	0	0	2	3	18	0	0	0	4	5	5	1	0	2	0	0	0	0	8
OTU_210	0	0	1	25	3	0	0	2	0	1	1	0	0	0	1	0	0	0	0	3
OTU_212	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_214	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0
OTU_215	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	9	0	0
OTU_216	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0
OTU_219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_220	6	5	4	5	6	15	3	0	4	0	3	3	0	11	5	3	4	3	0	7
OTU_221	1	0	0	4	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
OTU_222	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_223	6	2	0	5	0	0	0	0	5	3	0	0	0	0	2	0	1	0	1	0
OTU_224	0	0	0	0	1	0	0	0	0	0	0	0	35	0	0	0	0	2	0	0
OTU_225	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	6	0	0
OTU_226	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
OTU_227	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0
OTU_228	5	0	0	20	1	2	9	1	0	0	22	0	1	7	0	0	0	1	0	1
OTU_229	0	0	0	0	0	0	0	0	0	0	62	0	0	0	1	0	0	0	0	0
OTU_230	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_233	7	3	0	0	0	1	5	2	4	2	0	0	0	0	0	0	0	0	0	2
OTU_234	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0
OTU_235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	13
OTU_236	0	0	2	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
OTU_237	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_238	0	1	0	0	0	0	0	0	0	0	28	2	24	10	0	92	26	0	0	0
OTU_239	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
OTU_240	1	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_241	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_243	0	0	18	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0
OTU_244	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0
OTU_245	3	0	0	0	0	13	32	0	0	0	1	0	31	0	3	4	0	2	1	19
OTU_246	0	0	16	15	0	0	20	40	14	0	0	0	0	0	0	0	0	0	0	0
OTU_247	0	0	0	0	0	36	0	0	0	7	0	0	0	0	0	0	3	0	0	0
OTU_249	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0
OTU_250	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1
OTU_251	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	3	6	0	0
OTU_252	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
OTU_253	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
OTU_255	0	0	0	0	1	0	0	0	0	0	1	1	0	1	5	0	57	0	1	2
OTU_256	48	2	0	8	10	16	4	1	41	6	0	1	1	5	3	0	0	0	0	138
OTU_257	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_258	47	14	2	5	6	68	14	0	2	2	7	3	12	12	1	6	4	18	8	5
OTU_259	0	0	0	0	0	0	1	0	0	0	1	21	0	0	64	25	0	0	0	43
OTU_261	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	22	0	2
OTU_263	0	3	0	0	0	8	0	2	1	0	0	0	0	0	0	0	0	0	0	0
OTU_265	0	1	0	1	1	0	1	0	0	0	2	1	0	1	0	1	0	1	0	1
OTU_266	0	0	2	17	0	0	19	19	3	0	0	0	0	0	0	0	0	0	0	0
OTU_267	0	0	0	0	0	0	0	0	0	0	6	0	1	0	6	0	1	0	0	0
OTU_268	3	0	0	0	4	7	0	0	0	9	0	0	0	0	0	0	0	0	0	0
OTU_269	0	0	1	6	0	1	0	0	6	5	0	4	5	0	9	0	0	0	0	0
OTU_270	0	1	0	1	0	0	4	2	2	1	0	0	1	0	1	2	0	1	0	4
OTU_271	6	0	3	6	3	8	4	2	0	2	0	1	6	5	1	0	0	0	0	3
OTU_272	0	0	0	0	27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	78
OTU_273	4	6	19	1	3	3	2	12	1	0	0	1	1	21	7	0	6	2	0	7
OTU_274	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
OTU_275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
OTU_277	0	0	0	0	0	0	0	0	0	0	5	10	2	6	0	3	4	4	0	0
OTU_279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU_280	2	1	0	2	0	1	3	3	0	1	0	4	0	1	0	0	3	0	2	0
OTU_282	0	37	0	0	16	0	0	0	0	0	13	0	0	0	4	0	0	0	0	1
OTU_283	0	0	0	1	0	1	1	1	0	0	3	0	2	5	0	0	0	2	2	1
OTU_285	1	8	2	4	3	1	0	2	7	3	0	0	0	0	0	0	0	0	0	0
OTU_286	0	0	0	2	0	0	1	4	3	0	0	0	0	0	0	0	0	0	0	0
OTU_287	6	1	4	1	1	6	2	0	3	1	8	0	10	24	1	0	1	2	6	13
OTU_288	0	0	0	4	0	1	0	0	0	0	2	0	1	4	0	0	0	0	0	0
OTU_289	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	2	3	0	0	2
OTU_290	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_291	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_292	0	0	0	0	0	0	0	0	0	0	1	9	28	12	0	17	3	0	0	0
OTU_293	0	0	16	8	2	0	0	9	11	2	0	0	0	0	0	0	0	0	0	0
OTU_294	4	5	46	46	27	4	68	18	22	0	0	1	18	11	5	0	1	1	0	11
OTU_295	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2
OTU_296	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	1	0	0	0	0
OTU_297	0	0	3	1	0	0	0	1	0	0	0	1	0	5	0	5	3	3	1	1
OTU_298	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU_301	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
OTU_302	1	2	1	3	4	0	11	26	3	2	1	2	2	0	6	3	0	1	0	1
OTU_303	0	0	0	0	0	0	2	0	1	0	2	1	0	5	0	0	0	0	0	0
OTU_304	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
OTU_306	0	0	1	0	5	0	1	3	0	1	0	2	0	5	1	0	1	1	0	0
OTU_308	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU_309	0	3	0	1	0	2	1	0	0	2	0	0	1	0	1	0	0	0	0	7
OTU_310	0	0	0	0	0	0	0	0	0	0	0	1	14	4	0	0	0	0	0	0
OTU_311	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU_312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
OTU_313	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
OTU_315	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU_316	0	2	0	0	1	0	0	0	0	0	15	9	15	8	0	0	2	1	0	2
OTU_317	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
OTU_318	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_319	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_320	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_321	0	6	0	0	0	0	0	0	0	0	0	0	7	7	1	0	2	0	0	0
OTU_323	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	3
OTU_324	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0	0	0
OTU_326	9	9	4	0	1	17	0	2	2	9	0	0	0	0	0	0	0	0	0	0
OTU_327	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU_328	0	1	0	1	0	0	0	0	2	1	3	0	1	1	0	2	1	2	1	0
OTU_329	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_331	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_332	19	0	0	0	0	33	0	0	7	0	3	0	0	0	2	0	0	0	0	3
OTU_333	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
OTU_336	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
OTU_337	0	0	0	1	0	0	0	0	0	0	2	2	33	14	0	0	0	4	0	0
OTU_338	15	2	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_340	0	1	0	1	0	0	0	0	1	0	1	0	2	0	0	2	0	0	0	0
OTU_343	0	0	0	0	0	0	1	0	0	0	5	0	0	0	2	0	0	0	0	1
OTU_344	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_345	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0
OTU_346	1	11	23	13	11	3	10	5	13	2	0	0	0	0	0	0	0	0	0	10
OTU_348	3	1	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_349	0	5	16	8	3	2	6	9	5	4	0	2	0	0	0	0	0	0	0	8
OTU_351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	4
OTU_352	0	2	17	0	3	4	0	0	0	3	0	0	0	0	2	0	0	0	3	1
OTU_353	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU_354	0	5	1	0	0	2	4	15	1	6	0	0	0	0	0	0	0	0	0	0
