#OTU ID	m161004_131820_42237_c101086072550000001823265803091794_s1_p0	m161004_173440_42237_c101086072550000001823265803091795_s1_p0	m161004_215100_42237_c101086072550000001823265803091796_s1_p0	m161005_020720_42237_c101086072550000001823265803091797_s1_p0	m161005_062341_42237_c101086352550000001823265803091720_s1_p0	m161005_104000_42237_c101086352550000001823265803091721_s1_p0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/112042/ccs	1	1	0	1	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/11214/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/11221/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/112365/ccs	15	2	1	2	4	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/112507/ccs	453	88	108	108	109	118
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/112695/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/112697/ccs	19	3	1	3	4	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/112760/ccs	2	0	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/112924/ccs	17	0	6	6	9	4
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/112961/ccs	106	20	23	24	22	26
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/112985/ccs	8	2	3	1	5	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/113000/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/113235/ccs	7	0	0	0	2	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/113375/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/113383/ccs	1	1	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/113389/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/113512/ccs	2	1	0	1	3	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/11380/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/113964/ccs	77	11	12	16	23	26
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/113971/ccs	87	20	11	22	21	19
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/11407/ccs	2	0	1	0	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/114311/ccs	3	3	1	2	5	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/11457/ccs	1	0	0	0	3	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/114929/ccs	690	226	201	307	244	239
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/11494/ccs	3	1	1	0	2	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/114943/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115000/ccs	45	9	11	14	12	14
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115018/ccs	38	12	6	13	20	8
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115109/ccs	33	5	7	6	10	8
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115169/ccs	43	7	7	7	13	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115211/ccs	1	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115442/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115552/ccs	1	0	0	1	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/11557/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115591/ccs	2	2	1	4	5	4
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115659/ccs	102	11	17	19	24	14
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115786/ccs	24	6	4	5	3	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115988/ccs	9	4	4	2	3	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/115995/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116025/ccs	1	3	0	0	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116132/ccs	72	20	17	38	20	32
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116259/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116319/ccs	1	0	0	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116330/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116401/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116734/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116747/ccs	6	7	7	4	8	3
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116791/ccs	41	12	7	15	14	10
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116905/ccs	2	1	0	1	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116941/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/116953/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117010/ccs	1	0	1	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117035/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117110/ccs	2	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117147/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117182/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117377/ccs	6	2	1	1	4	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117411/ccs	2	0	0	1	2	3
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117428/ccs	58	8	10	13	26	13
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117513/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117566/ccs	6	4	4	5	5	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117620/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117663/ccs	33	11	15	17	18	8
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117682/ccs	1	0	0	0	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117716/ccs	11	2	2	2	3	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/117750/ccs	1	0	0	0	0	0
