#OTU ID	m161004_131820_42237_c101086072550000001823265803091794_s1_p0	m161004_173440_42237_c101086072550000001823265803091795_s1_p0	m161004_215100_42237_c101086072550000001823265803091796_s1_p0	m161005_020720_42237_c101086072550000001823265803091797_s1_p0	m161005_062341_42237_c101086352550000001823265803091720_s1_p0	m161005_104000_42237_c101086352550000001823265803091721_s1_p0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/11476/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/114778/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/115024/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/115258/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/115486/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/115546/ccs	0	0	0	3	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/115615/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/115808/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/116281/ccs	5	7	2	13	3	7
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/11678/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/116781/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/116798/ccs	1	2	1	5	1	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/117296/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/117877/ccs	0	2	0	8	1	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/117942/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/118080/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/118092/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/118325/ccs	0	0	0	2	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/118479/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/118486/ccs	0	2	0	5	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/118584/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/118600/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/118671/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/119005/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/119045/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/119180/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/119237/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/119506/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/119761/ccs	0	0	0	1	2	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/119971/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/119982/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/120089/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/120273/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/120544/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/120588/ccs	0	1	0	5	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/120886/ccs	2	5	1	6	7	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/120916/ccs	1	1	3	7	1	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/120918/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/120927/ccs	0	0	0	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/121026/ccs	4	1	0	9	3	3
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/12110/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/121347/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/121497/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/121660/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/121879/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/122120/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/122232/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/122480/ccs	0	0	0	1	0	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/122604/ccs	0	0	0	2	1	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/122789/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/123282/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/123381/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/123811/ccs	0	0	0	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/124090/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/12415/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/124230/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/124316/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/124622/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/124676/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/124702/ccs	0	0	0	1	1	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/124730/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/12519/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/125416/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/125439/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/125537/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/125571/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/125591/ccs	0	0	0	1	0	3
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/125817/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/125935/ccs	0	0	0	2	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/126056/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/126063/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/126309/ccs	0	1	2	6	3	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/126425/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/126769/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/126848/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/126959/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127099/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127145/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127186/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127329/ccs	0	0	0	2	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127354/ccs	9	4	2	12	8	4
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127408/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127462/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127496/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127636/ccs	0	1	1	2	2	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127676/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127781/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/127871/ccs	0	0	0	2	1	3
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/128056/ccs	0	2	0	2	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/128058/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/128075/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/128076/ccs	2	1	3	6	4	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/128742/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/128770/ccs	1	4	0	8	0	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/128994/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/129015/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/129336/ccs	0	3	1	6	3	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/129449/ccs	2	3	2	11	2	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/129482/ccs	0	3	0	4	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/129504/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/129583/ccs	2	0	0	2	0	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/129853/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/130021/ccs	23	20	14	30	11	12
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/130065/ccs	0	0	0	1	0	3
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/130171/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/130342/ccs	2	1	1	4	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/130453/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/130513/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/130586/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/130684/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/130958/ccs	2	2	1	7	1	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/131357/ccs	1	0	1	3	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/131659/ccs	0	0	0	3	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/131908/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/132572/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/132679/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/132874/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/133196/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/133244/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/133490/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/133507/ccs	0	0	0	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/13366/ccs	0	0	1	4	1	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/133915/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/134220/ccs	3	0	3	11	4	3
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/134378/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/134389/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/134404/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/134548/ccs	0	0	0	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/134673/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/134740/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/135041/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/135173/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/135197/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/135229/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/135342/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/135451/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/135461/ccs	5	0	2	6	8	6
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/13555/ccs	1	5	2	5	2	3
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/135698/ccs	5	1	2	4	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/135854/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/136000/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/136138/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/136416/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/136510/ccs	0	1	1	6	2	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/136563/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/136863/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/136972/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/137224/ccs	4	5	1	7	8	4
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/137496/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/138175/ccs	0	0	0	1	3	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/138200/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/138207/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/138351/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/138400/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/138679/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/138815/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/139167/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/139209/ccs	0	0	0	2	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/139412/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/139455/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/139498/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/13951/ccs	0	0	0	3	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/139688/ccs	0	1	0	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/139814/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/139841/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/140259/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/140356/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/140890/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141003/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141033/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141283/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141304/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141492/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141503/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141536/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141572/ccs	0	0	0	5	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141699/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141831/ccs	0	3	1	4	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/141902/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/142255/ccs	0	0	0	2	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/142806/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/142842/ccs	1	5	1	8	1	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/14311/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/143280/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/143333/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/143526/ccs	0	1	1	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/143545/ccs	0	0	0	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/143958/ccs	0	0	0	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/144039/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/144147/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/144202/ccs	0	0	0	1	1	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/144292/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/144720/ccs	0	0	0	2	3	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/144727/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/144748/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/144840/ccs	0	0	0	2	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/144958/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/14565/ccs	0	0	0	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/145705/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/145991/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/145997/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/146218/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/14643/ccs	3	0	2	6	2	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/146552/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/146644/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/146724/ccs	0	1	1	3	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/146741/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/146759/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/146813/ccs	1	0	1	2	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/147382/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/147701/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/148081/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/148209/ccs	0	0	1	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/148272/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/148389/ccs	0	0	0	3	3	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/148537/ccs	0	0	0	2	2	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/148730/ccs	1	1	1	5	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/148961/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/149064/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/149225/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/149412/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/149424/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/149539/ccs	1	0	3	4	0	3
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/149998/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/150222/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/150307/ccs	42	21	19	46	34	20
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/150763/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/150859/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/150909/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/150965/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/151179/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/151406/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/151731/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/151991/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/152054/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/152142/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/152207/ccs	2	2	0	8	2	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/152342/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/152568/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/152897/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/15295/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/153622/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/153759/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/154027/ccs	0	0	0	2	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/154045/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/154123/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/154213/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/154226/ccs	0	0	1	4	1	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/15435/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/154573/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/154583/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/154818/ccs	2	1	0	2	1	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/154882/ccs	0	1	0	3	2	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/155051/ccs	0	0	1	3	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/155202/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/155346/ccs	0	0	0	2	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/15607/ccs	0	0	0	1	0	2
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/156798/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/157140/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/157472/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/157620/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/157629/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/157633/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/157688/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/157843/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/158055/ccs	0	0	0	1	2	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/158554/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/15875/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/158869/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/15920/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/159415/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/159603/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/159641/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/159850/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/160820/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/161076/ccs	0	0	0	1	0	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/161676/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/162056/ccs	0	0	0	1	2	1
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/162138/ccs	0	3	0	2	2	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/162258/ccs	0	1	0	2	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/163066/ccs	0	0	0	2	1	3
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/163102/ccs	0	0	0	1	1	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/1674/ccs	4	0	2	7	2	3
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/16814/ccs	2	0	1	3	2	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/1684/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/16840/ccs	0	0	0	1	0	0
m161005_020720_42237_c101086072550000001823265803091797_s1_p0/17060/ccs	0	0	0	1	0	0
